sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.871;-2.077;9.1047;-4.3192;-1.8929;8.5984;3.3934;-0.2057;0.5483;-2.5658;0.6235;-0.3349;45.0225;29.04;8.23;-37.74;270.71;7.25;24.81;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;6;2023-09-21 21:22:00:428
-1.194;-2.0841;10.5045;-4.3192;-1.8929;8.5984;3.3934;-0.2057;0.5483;-2.3941;0.4133;-0.4656;45.0225;29.04;8.23;-37.74;270.71;7.25;24.81;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;11;2023-09-21 21:22:00:433
-1.194;-2.0841;10.5045;-4.3547;-2.2208;8.5015;3.1218;0.0937;2.0281;-2.3941;0.4133;-0.4656;45.0225;30.21;10.33;-36.82;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;15;2023-09-21 21:22:00:437
-1.194;-2.0841;10.5045;-4.3547;-2.2208;8.5015;3.1218;0.0937;2.0281;-2.3941;0.4133;-0.4656;45.0225;30.21;10.33;-36.82;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;21;2023-09-21 21:22:00:443
-1.8473;-2.0506;11.7847;-4.3547;-2.2208;8.5015;3.1218;0.0937;2.0281;-2.052;0.2771;-0.6232;45.0225;30.21;10.33;-36.82;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;25;2023-09-21 21:22:00:447
-1.8473;-2.0506;11.7847;-4.3571;-2.5095;8.4196;2.5066;0.417;3.4181;-1.7375;0.3492;-0.7026;45.0225;30.62;11.14;-36.92;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;31;2023-09-21 21:22:00:453
-1.8473;-2.0506;11.7847;-4.3571;-2.5095;8.4196;2.5066;0.417;3.4181;-1.7375;0.3492;-0.7026;45.0225;30.62;11.14;-36.92;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;36;2023-09-21 21:22:00:458
-2.6847;-2.0937;12.3422;-4.3571;-2.5095;8.4196;2.5066;0.417;3.4181;-1.7375;0.3492;-0.7026;45.0225;30.62;11.14;-36.92;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;40;2023-09-21 21:22:00:462
-2.6847;-2.0937;12.3422;-4.3707;-2.7446;8.3388;1.5285;0.5945;4.1551;-1.4394;0.5722;-0.7198;45.0225;30.62;11.14;-36.92;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;46;2023-09-21 21:22:00:468
-3.661;-2.3306;12.2273;-4.3707;-2.7446;8.3388;1.5285;0.5945;4.1551;-1.4394;0.5722;-0.7198;45.0225;31.05;12.9;-36.84;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;51;2023-09-21 21:22:00:473
-3.661;-2.3306;12.2273;-4.3707;-2.7446;8.3388;1.5285;0.5945;4.1551;-1.1351;0.8782;-0.702;45.0225;31.05;12.9;-36.84;265.26;13.09;27.12;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;55;2023-09-21 21:22:00:477
-3.661;-2.3306;12.2273;-4.4277;-2.9292;8.2454;0.6433;0.5426;4.0487;-1.1351;0.8782;-0.702;45.0225;31.05;12.9;-36.84;265.26;13.09;27.12;5.0;972.54;0.0;;;;NaN;;;;;0 / 0;61;2023-09-21 21:22:00:483
-4.1779;-2.3258;11.2846;-4.4277;-2.9292;8.2454;0.6433;0.5426;4.0487;-0.972;0.9814;-0.7008;45.0225;31.18;15.04;-36.28;272.57;17.38;28.24;5.0;972.54;0.0;;;;NaN;;;;;0 / 0;66;2023-09-21 21:22:00:488
-4.1779;-2.3258;11.2846;-4.4277;-2.9292;8.2454;0.6433;0.5426;4.0487;-0.972;0.9814;-0.7008;45.0225;31.18;15.04;-36.28;272.57;17.38;28.24;5.0;972.54;0.0;;;;NaN;;;;;0 / 0;71;2023-09-21 21:22:00:493
-4.1779;-2.3258;11.2846;-4.5062;-3.0821;8.1465;0.2369;0.731;3.1475;-0.972;0.9814;-0.7008;45.0225;31.18;15.04;-36.28;272.57;17.38;28.24;5.0;972.54;0.0;;;;NaN;;;;;0 / 0;75;2023-09-21 21:22:00:497
