sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.938;-2.3904;10.8467;-0.6487;-0.7976;9.7526;1.5881;-1.8561;1.4194;-1.4907;1.9191;1.2051;39.015;18.04;13.69;-42.82;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;6;2023-09-21 21:20:58:054
0.938;-2.3904;10.8467;-0.6487;-0.7976;9.7526;1.5881;-1.8561;1.4194;-1.3105;1.8947;0.8856;39.015;18.04;13.69;-42.82;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;11;2023-09-21 21:20:58:059
0.938;-2.3904;10.8467;-0.6487;-0.7976;9.7526;1.5881;-1.8561;1.4194;-1.3105;1.8947;0.8856;39.015;18.04;13.69;-42.82;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;16;2023-09-21 21:20:58:064
-0.2058;-1.8305;9.9135;-0.9179;-0.9664;9.7157;1.062;-0.9602;0.6279;-1.1944;1.9032;0.6852;39.015;18.94;15.08;-42.0;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;20;2023-09-21 21:20:58:068
-0.2058;-1.8305;9.9135;-0.9179;-0.9664;9.7157;1.062;-0.9602;0.6279;-1.1944;1.9032;0.6852;39.015;18.94;15.08;-42.0;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;26;2023-09-21 21:20:58:074
-1.4859;-1.9071;8.7482;-0.9179;-0.9664;9.7157;1.062;-0.9602;0.6279;-1.1119;1.7224;0.5301;39.015;18.94;15.08;-42.0;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;31;2023-09-21 21:20:58:079
-1.4859;-1.9071;8.7482;-1.1663;-1.1172;9.6727;-0.2075;-0.7822;-0.6396;-1.1119;1.7224;0.5301;39.015;18.94;15.08;-42.0;304.72;3.49;2.2;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;36;2023-09-21 21:20:58:084
-1.4859;-1.9071;8.7482;-1.1663;-1.1172;9.6727;-0.2075;-0.7822;-0.6396;-1.1077;1.3192;0.4934;39.015;20.4;16.26;-41.19;306.31;6.54;6.88;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;41;2023-09-21 21:20:58:089
-2.9695;-2.4933;7.9131;-1.1663;-1.1172;9.6727;-0.2075;-0.7822;-0.6396;-1.1077;1.3192;0.4934;39.015;20.4;16.26;-41.19;306.31;6.54;6.88;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;46;2023-09-21 21:20:58:094
-2.9695;-2.4933;7.9131;-1.1663;-1.1172;9.6727;-0.2075;-0.7822;-0.6396;-1.1077;1.3192;0.4934;39.015;20.4;16.26;-41.19;306.31;6.54;6.88;5.0;972.53;0.0;;;;NaN;;;;;0 / 0;51;2023-09-21 21:20:58:099
