sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0263;-0.1292;9.7412;-0.1091;-0.0154;9.806;0.1485;-0.0779;0.0238;0.0115;-1.0E-4;-0.0069;78.03;-0.02;-3.69;-40.2;173.25;0.1;0.69;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;7;2023-09-21 21:18:00:333
-0.0263;0.012;9.6359;-0.1068;-0.0165;9.8061;0.0684;-0.0864;-0.0945;0.009;0.0042;-0.0027;78.03;-0.06;-3.66;-40.12;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;11;2023-09-21 21:18:00:337
-0.0263;0.012;9.6359;-0.1068;-0.0165;9.8061;0.0684;-0.0864;-0.0945;0.009;0.0042;-0.0027;78.03;-0.06;-3.66;-40.12;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;17;2023-09-21 21:18:00:343
-0.0263;0.012;9.6359;-0.1049;-0.0153;9.8061;0.1203;0.0607;-0.1696;0.0011;0.0024;-0.0063;78.03;-0.06;-3.66;-40.12;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;22;2023-09-21 21:18:00:348
-0.0096;0.0598;9.6239;-0.1049;-0.0153;9.8061;0.1203;0.0607;-0.1696;0.0011;0.0024;-0.0063;78.03;-0.06;-3.66;-40.12;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;27;2023-09-21 21:18:00:353
-0.0096;0.0598;9.6239;-0.1049;-0.0153;9.8061;0.1203;0.0607;-0.1696;-0.0148;0.0018;-0.0186;78.03;-0.13;-3.45;-40.29;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;32;2023-09-21 21:18:00:358
-0.0096;0.0598;9.6239;-0.1033;-0.0151;9.8061;0.1203;0.0607;-0.1696;-0.0148;0.0018;-0.0186;78.03;-0.13;-3.45;-40.29;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;37;2023-09-21 21:18:00:363
-0.0239;0.0359;9.7627;-0.1033;-0.0151;9.8061;0.088;0.0502;-0.1119;-0.0148;0.0018;-0.0186;78.03;-0.13;-3.45;-40.29;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;41;2023-09-21 21:18:00:367
-0.0694;0.0359;9.8919;-0.1012;-0.0165;9.8061;0.058;0.0572;0.046;-0.0215;-1.0E-4;-0.0308;78.03;-0.13;-3.45;-40.29;173.89;0.1;0.62;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;49;2023-09-21 21:18:00:375
-0.0694;0.0359;9.8919;-0.1012;-0.0165;9.8061;0.058;0.0572;0.046;-0.0105;-0.0019;-0.0338;78.03;0.08;-3.84;-40.26;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;53;2023-09-21 21:18:00:379
-0.0694;0.0359;9.8919;-0.1012;-0.0165;9.8061;0.058;0.0572;0.046;-0.0105;-0.0019;-0.0338;78.03;0.08;-3.84;-40.26;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;57;2023-09-21 21:18:00:383
-0.1962;-0.0502;9.868;-0.1012;-0.017;9.8061;-0.0377;0.0038;0.1079;-0.0105;-0.0019;-0.0338;78.03;0.08;-3.84;-40.26;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;61;2023-09-21 21:18:00:387
-0.1962;-0.0502;9.868;-0.1012;-0.017;9.8061;-0.0377;0.0038;0.1079;0.0066;0.0097;-0.0265;78.03;0.08;-3.84;-40.26;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;68;2023-09-21 21:18:00:394
-0.1962;-0.0502;9.868;-0.1012;-0.017;9.8061;-0.0377;0.0038;0.1079;0.0066;0.0097;-0.0265;78.03;0.17;-3.84;-40.2;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;72;2023-09-21 21:18:00:398
-0.1579;0.0072;9.7771;-0.1051;-0.0164;9.8061;-0.09;-0.0039;0.0111;0.0139;0.014;-0.0198;78.03;0.17;-3.84;-40.2;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;78;2023-09-21 21:18:00:404
-0.1579;0.0072;9.7771;-0.1051;-0.0164;9.8061;-0.09;-0.0039;0.0111;0.0139;0.014;-0.0198;78.03;0.17;-3.84;-40.2;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;82;2023-09-21 21:18:00:408
-0.1196;0.0191;9.6981;-0.1051;-0.0164;9.8061;-0.09;-0.0039;0.0111;0.0115;0.0134;-0.0167;78.03;0.17;-3.84;-40.2;174.2;0.1;0.59;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;86;2023-09-21 21:18:00:412
-0.1196;0.0191;9.6981;-0.1076;-0.0141;9.806;-0.0241;0.0297;-0.0997;5.0E-4;0.0024;-0.0082;78.03;0.09;-3.94;-40.28;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;92;2023-09-21 21:18:00:418
-0.1196;0.0191;9.6981;-0.1076;-0.0141;9.806;-0.0241;0.0297;-0.0997;5.0E-4;0.0024;-0.0082;78.03;0.09;-3.94;-40.28;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;96;2023-09-21 21:18:00:422
-0.2058;-0.0215;9.679;-0.1087;-0.0141;9.806;-0.0901;0.0057;-0.1158;-0.0118;-0.0086;4.0E-4;78.03;0.09;-3.94;-40.28;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;104;2023-09-21 21:18:00:430
-0.2058;-0.0215;9.679;-0.1087;-0.0141;9.806;-0.0901;0.0057;-0.1158;-0.0118;-0.0086;4.0E-4;78.03;0.09;-3.94;-40.28;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;106;2023-09-21 21:18:00:432
-0.2656;-0.0455;9.8417;-0.1087;-0.0141;9.806;-0.0901;0.0057;-0.1158;-0.0118;-0.0086;4.0E-4;78.03;0.49;-4.2;-40.14;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;112;2023-09-21 21:18:00:438
-0.2656;-0.0455;9.8417;-0.1087;-0.0141;9.806;-0.0901;0.0057;-0.1158;-0.0142;-0.0117;0.0059;78.03;0.49;-4.2;-40.14;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;116;2023-09-21 21:18:00:442
-0.2656;-0.0455;9.8417;-0.1108;-0.0167;9.806;-0.143;-0.0276;0.0771;-0.0142;-0.0117;0.0059;78.03;0.49;-4.2;-40.14;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;122;2023-09-21 21:18:00:448
-0.1842;-0.1125;9.9398;-0.1108;-0.0167;9.806;-0.143;-0.0276;0.0771;-0.002;-0.0117;0.0083;78.03;0.49;-4.2;-40.14;173.98;0.1;0.61;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;128;2023-09-21 21:18:00:454
-0.1842;-0.1125;9.9398;-0.1108;-0.0167;9.806;-0.143;-0.0276;0.0771;-0.002;-0.0117;0.0083;78.03;0.28;-4.03;-40.26;173.66;0.1;0.65;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;132;2023-09-21 21:18:00:458
-0.2249;-0.0933;9.8441;-0.1114;-0.019;9.806;-0.0945;-0.0994;0.0894;0.0053;-0.0086;0.0077;78.03;0.28;-4.03;-40.26;173.66;0.1;0.65;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;139;2023-09-21 21:18:00:465
-0.2249;-0.0933;9.8441;-0.1114;-0.019;9.806;-0.0945;-0.0994;0.0894;0.0053;-0.0086;0.0077;78.03;0.28;-4.03;-40.26;173.66;0.1;0.65;5.0;972.59;0.0;;;;NaN;;;;;0 / 0;141;2023-09-21 21:18:00:467
